FIPS,Deaths
01001,11
01003,79
01005,9
01007,10
01009,10
01011,0
01013,6
01015,42
01017,4
01019,4
01021,9
01023,1
01025,8
01027,4
01029,5
01031,30
01033,19
01035,7
01037,3
01039,31
01041,4
01043,26
01045,24
01047,18
01049,25
01051,29
01053,16
01055,37
01057,4
01059,7
01061,15
01063,5
01065,5
01067,2
01069,37
01071,14
01073,137
01075,4
01077,20
01079,2
01081,25
01083,22
01085,2
01087,5
01089,52
01091,6
01093,10
01095,27
01097,227
01099,3
01101,54
01103,20
80001,0
01105,2
01107,4
01109,7
01111,13
01113,13
01117,30
01115,22
01119,2
01121,19
01123,13
01125,35
90001,0
01127,19
01129,4
01131,4
01133,7
02013,0
02016,0
02020,41
02050,1
02060,0
02164,0
02063,0
02066,0
02068,0
02070,1
02090,13
02100,0
02110,0
02122,8
02130,1
02150,1
02158,0
02170,20
02180,0
02185,0
02188,1
02195,1
02198,4
02220,2
02230,0
02240,3
90002,0
02261,0
02275,0
02282,0
02290,0
04001,24
04003,22
04005,12
04007,21
04009,11
04011,2
04012,1
04013,903
04015,129
04017,39
80004,0
04019,102
04021,71
04023,9
90004,0
04025,77
04027,25
05001,16
05003,5
05005,50
05007,97
05009,19
05011,4
05013,4
05015,14
05017,1
05019,3
05021,2
05023,7
05025,4
05027,5
05029,7
05031,32
05033,20
05035,13
05037,8
05039,3
05041,0
05043,9
05045,29
05047,7
05049,4
05051,69
05053,12
05055,22
05057,1
05059,28
05061,3
05063,19
05065,10
05067,3
05069,37
05071,10
05073,2
05075,2
05077,6
05079,7
05081,2
05083,9
05085,37
05087,9
05089,19
05091,2
05093,11
05095,4
05097,1
05099,5
05101,3
05103,7
05105,3
05107,20
05109,7
05111,15
05113,16
05115,25
05117,6
05119,150
05121,3
05125,44
05127,5
05129,2
05131,30
05133,7
05135,12
05123,10
05137,7
90005,0
05139,4
05141,11
05143,62
05145,42
05147,5
05149,4
06001,27
06003,0
06005,7
06007,18
06009,9
06011,2
06013,71
06015,13
06017,9
06019,123
06021,3
06023,16
06025,29
06027,3
06029,111
06031,14
06033,31
06035,4
06037,1365
06039,12
06041,12
06043,3
06045,13
06047,54
06049,2
06051,0
06053,160
06055,7
06057,12
06059,260
06061,38
06063,1
06065,215
06067,261
06069,1
06071,698
06073,182
06075,40
06077,215
06079,28
06081,145
06083,28
06085,-195
06087,3
06089,23
06091,0
06093,22
06095,40
06097,34
06099,301
06101,26
06103,19
06105,0
06107,35
06109,27
90006,0
06111,76
06113,26
06115,10
08001,85
08003,9
08005,51
08007,1
08009,1
08011,1
08013,9
08014,1
08015,1
08017,1
08019,1
08021,17
08023,3
08025,3
08027,5
08029,15
08031,64
08033,1
08035,22
08037,6
08041,147
08039,3
08043,15
08045,19
08047,0
08049,0
08051,1
08053,0
08055,0
08057,0
08059,84
08061,0
08063,3
08067,7
08065,1
08069,27
08071,6
08073,1
08075,2
08077,68
08079,0
08081,9
08083,5
08085,17
08087,3
08089,4
08091,2
80008,0
08093,2
08095,0
08097,0
08099,4
08101,59
08103,2
08105,6
08107,1
08109,4
08111,0
08113,3
08115,1
08117,2
08119,5
90008,0
08121,1
08123,28
08125,1
09001,53
09003,72
09005,6
09007,15
09009,88
09011,12
09013,8
90009,1
09015,6
10001,56
10003,124
10005,74
90010,0
88888,0
11001,55
12001,10
12003,2
12005,8
12007,2
12009,53
12011,177
12013,2
12015,21
12017,19
12019,12
12021,23
12023,1
12027,4
12029,0
12031,92
12033,27
12035,3
12037,3
12039,5
12041,1
12043,0
12045,3
12047,0
12049,2
12051,5
12053,23
12055,15
12057,121
12059,0
12061,7
12063,2
12065,1
12067,0
12069,30
12071,50
12073,18
12075,3
12077,0
12079,0
12081,25
12083,41
12085,15
12086,297
12087,3
12089,3
12091,6
12093,1
12095,61
12097,29
12099,113
12101,59
12103,62
12105,77
12107,15
12113,6
12115,32
12117,28
12109,12
12111,31
12119,9
12121,2
12123,2
90012,7588
12125,2
12127,54
12129,1
12131,2
12133,1
13001,4
13003,4
13005,9
13007,2
13009,18
13011,11
13013,19
13015,31
13017,6
13019,9
13021,51
13023,1
13025,13
13027,7
13029,4
13031,21
13033,7
13035,8
13037,2
13039,31
13043,5
13045,19
13047,9
13049,9
13051,60
13053,2
13055,6
13057,38
13059,9
13061,0
13063,93
13065,2
13067,136
13069,19
13071,17
13073,20
13075,4
13077,32
13079,4
13081,16
13083,1
